brand,product_name,category_standardized,price,product_url,source_website,scrape_date
ALO,Airlift High-Waist Suit Up Legging,Leggings,144,https://www.aloyoga.com/products/w51428r-airlift-high-waist-suit-up-legging-espresso,aloyoga.com,3/18/2026
ALO,Airlift High-Waist Alignment Legging,Leggings,144,https://www.aloyoga.com/products/w54180r-airlift-high-waist-alignment-legging-vintage-pink-white,aloyoga.com,3/18/2026
ALO,Airlift High-Waist 7/8 Line Up Legging,Leggings,144,https://www.aloyoga.com/products/w51154r-airlift-high-waist-7-8-line-up-legging-black,aloyoga.com,3/18/2026
ALO,Airlift Mesh High-Waist Cherish Legging,Leggings,144,https://www.aloyoga.com/products/w54202r-airlift-mesh-high-waist-cherish-legging-vintage-pink,aloyoga.com,3/18/2026
ALO,ALO Softsculpt 7/8 Foldover Flare Legging,Leggings,144,https://www.aloyoga.com/products/w54324r-alo-softsculpt-7-8-foldover-flare-legging-black,aloyoga.com,3/18/2026
ALO,Airlift High-Waist Sleek Legging,Leggings,138,https://www.aloyoga.com/products/w54184r-airlift-high-waist-sleek-legging-gravel,aloyoga.com,3/18/2026
ALO,Airlift High Waist Charger 7/8 Legging,Leggings,138,https://www.aloyoga.com/products/w54220r-airlift-high-waist-charger-7-8-legging-bright-red-white,aloyoga.com,3/18/2026
ALO,Airlift High-Waist 7/8 Fine Line Legging,Leggings,138,https://www.aloyoga.com/products/w54312r-airlift-high-waist-7-8-fine-line-legging-vintage-pink,aloyoga.com,3/18/2026
ALO,Airbrush High-Waist Heart Throb Legging,Leggings,134,https://www.aloyoga.com/products/w51298r-airbrush-high-waist-heart-throb-legging-black-white,aloyoga.com,3/18/2026
ALO,7/8 High-Waist Airlift Legging,Leggings,134,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-vintage-pink,aloyoga.com,3/18/2026
ALO,Alosoft High-Waist Heart Throb Legging,Leggings,134,https://www.aloyoga.com/products/w54172r-alosoft-high-waist-heart-throb-legging-oatmeal-heather-white,aloyoga.com,3/18/2026
ALO,7/8 High-Waist Alosoft Heart Throb Legging,Leggings,134,https://www.aloyoga.com/products/w54342r-7-8-high-waist-alosoft-heart-throb-legging-oatmeal-heather-white,aloyoga.com,3/18/2026
ALO,High-Waist Airlift Legging,Leggings,134,https://www.aloyoga.com/products/w5561r-high-waist-airlift-legging-black,aloyoga.com,3/18/2026
